suite	instance	set	mechanism	actions_seen	max_f	loops	aut_states	translation_ms	equivariant_decline	acacia_seconds	ltlsynt_seconds
syntcomp26	F-G-contradiction-111.ltl	ltlsynt_only	M1 letter-loop	131072	1024	17	10226	6184	no indexed input AP families; too many automaton states	17.107910	0.071184
syntcomp26	F-G-contradiction-15.ltl	acacia_slow	mixed	35708	8192	114	721	58	no indexed input AP families; too many automaton states	1.734967	0.032692
syntcomp26	GF-G-contradiction2.ltl	acacia_slow	M1 letter-loop	35280	768	85	317	42	too few indexed clients	1.810802	0.033873
syntcomp26	KitchenTimerV9.ltl	acacia_slow	mixed	16832	3504	1052	146	306	no indexed AP families	0.555099	0.027855
syntcomp26	OneCounter.ltl	acacia_slow	M1 letter-loop	2608760	6	6656	67	3021	no indexed AP families	2.764552	0.030864
syntcomp26	TwoCounters3.ltl	acacia_slow	M2 downset	31714	1	101	26	1738	no indexed AP families	1.544448	0.021834
syntcomp26	TwoCountersDisButA9.ltl	acacia_slow	mixed	2040	1	3	55	200	no indexed AP families	0.619565	0.020985
syntcomp26	amba_decomposed_lock_pb_11_pe_.ltl	acacia_slow	M2 downset	2195456	1	8	10	3	no indexed input AP families	1.771903	0.022861
syntcomp26	amba_decomposed_lock_pb_12_pe_.ltl	acacia_slow	mixed	20062208	1	32	10	3	no indexed input AP families	7.718522	0.022530
syntcomp26	amba_decomposed_lock_pb_13_pe_.ltl	ltlsynt_only	mixed	33554432	1	23	10	7	no indexed input AP families	17.159195	0.024027
syntcomp26	arbiter_pb_5_pe_.ltl	acacia_slow	M1 letter-loop	64480	743	2015	353	28	0/0 star gens	0.845620	0.042510
syntcomp26	arbiter_pb_7_pe_.ltl	ltlsynt_only	M2 downset	1024	2187	8	2368	1291	attempted	17.043984	0.696288
syntcomp26	arbiter_with_cancel_pb_7_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.048722	16.795657
syntcomp26	box-real.ltl	ltlsynt_only	M1 letter-loop	922488	4096	6784	300	21	no indexed input AP families; too few indexed clients	17.030141	0.028153
syntcomp26	chain-simple-30-real.ltl	acacia_slow	M2 downset	6	1	7	2046	278	no indexed input AP families; too many automaton states	0.438382	0.067689
syntcomp26	chain-simple-50-real.ltl	acacia_slow	M2 downset	6	1	7	3326	476	no indexed input AP families; too many automaton states	0.692692	0.095998
syntcomp26	chomp_pb_2_5_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.057988	0.044651
syntcomp26	chomp_pb_3_2_pe_.ltl	acacia_slow	M1 letter-loop	15566	2	1256	47	3733	too few indexed clients	3.353340	0.026081
syntcomp26	evasion-real.ltl	ltlsynt_only	M1 letter-loop	86528	1586	32	171	285	no indexed input AP families	17.049531	0.058459
syntcomp26	evasion0.ltl	ltlsynt_only	mixed	40000	2902	16	8741	16039	no indexed input AP families; too many automaton states	17.049184	0.050702
syntcomp26	g-real0.ltl	acacia_slow	M1 letter-loop	49152	847	6754	280	23	too few indexed clients	6.117231	0.038433
syntcomp26	g-unreal-1-unreal.ltl	ltlsynt_only	M1 letter-loop	131072	512	110	957	55	no indexed input AP families	17.030941	0.037323
syntcomp26	g-unreal-113.ltl	acacia_slow	M1 letter-loop	108576	288	175	617	31	no indexed input AP families	6.197572	0.030614
syntcomp26	g-unreal-18.ltl	acacia_slow	M1 letter-loop	51976	228	90	397	19	no indexed input AP families	1.716537	0.029387
syntcomp26	gf-unreal20.ltl	wrapper_artifact	resolved empty-side partition	0	0	0	0	4	not run	0.010	0.026052
syntcomp26	gf-unreal46.ltl	wrapper_artifact	resolved empty-side partition	0	0	0	0	9	not run	0.016	0.034561
syntcomp26	heim-double-x-real.ltl	ltlsynt_only	M2 downset	49152	1777	1795	669	407	no indexed input AP families; too many automaton states	17.055654	0.034639
syntcomp26	heim-double-x1.ltl	acacia_slow	M1 letter-loop	32768	1396	2357	253	67	no indexed input AP families; too few indexed clients	3.014632	0.025106
syntcomp26	helipad-real.ltl	ltlsynt_only	M3 translation-stall	0	0	0	110	512	too few indexed clients	17.058163	0.818163
syntcomp26	infinite-race-u3.ltl	acacia_slow	M1 letter-loop	131072	285	36	1874	487	no indexed input AP families; too many automaton states	2.275215	0.034992
syntcomp26	infinite-race-unequal-22.ltl	acacia_slow	mixed	108736	2688	416	964	323	no indexed input AP families; too many automaton states	2.559135	0.034288
syntcomp26	lift_pb_6_pe_.ltl	ltlsynt_only	M2 downset	2048	1310	32	5550	2538	too many automaton states	17.078465	0.682833
syntcomp26	load_balancer_unreal1_pb_6_4_pe_.ltl	ltlsynt_only	M3 translation-stall	14284	245	237	214	722	0/0 star gens	17.063187	16.959755
syntcomp26	ltl2dba_C2_unreal_pb_12_pe_.ltl	acacia_slow	M2 downset	1150	2	576	44	386	no indexed input AP families; 0/0 star gens	0.565276	0.054929
syntcomp26	ltl2dba_theta_pb_12_pe_.ltl	acacia_slow	M1 letter-loop	159744	26	160	59	2412	no indexed input AP families; 0/0 star gens	3.800093	0.099975
syntcomp26	ltl2dba_theta_pb_16_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.051093	2.770736
syntcomp26	patrolling-alarm21.ltl	acacia_slow	M1 letter-loop	450000	634	416	846	436	too few indexed clients; too many automaton states	15.556283	0.043808
syntcomp26	patrolling-alarm7.ltl	acacia_slow	M1 letter-loop	34796	4096	128	342	83	too few indexed clients	0.396328	0.028583
syntcomp26	patrolling11.ltl	acacia_slow	M1 letter-loop	123120	216	160	486	122	too few indexed clients	1.659265	0.031604
syntcomp26	patrolling15.ltl	acacia_slow	M1 letter-loop	298948	4096	260	630	287	too few indexed clients; too many automaton states	6.536530	0.052954
syntcomp26	prioritized_arbiter_pb_9_pe_.ltl	ltlsynt_only	M2 downset	4282946	3529	2141473	59	3	no indexed input AP families; 0/0 star gens	17.030674	0.023279
syntcomp26	reversible-lane-u-unreal.ltl	acacia_slow	M1 letter-loop	155512	360	30	51	82	no indexed input AP families	9.776528	0.293364
syntcomp26	reversible-lane-u0.ltl	acacia_slow	M1 letter-loop	142008	150	27	45	78	no indexed input AP families	3.248411	0.168218
syntcomp26	reversible-lane-u1.ltl	acacia_slow	M1 letter-loop	145204	231	28	48	82	no indexed input AP families	5.776598	0.224999
syntcomp26	robot-cat-unreal-1d-unreal.ltl	acacia_slow	M1 letter-loop	26316	996	928	2677	2159	no indexed input AP families; too many automaton states	2.652753	0.038964
syntcomp26	robot-grid-commute-1d-real.ltl	acacia_slow	M1 letter-loop	17548	509	13	3610	1707	no indexed input AP families; too many automaton states	2.055884	0.034407
syntcomp26	robot-grid-reach-2d-real.ltl	acacia_slow	M1 letter-loop	55676	417	32	3335	2254	no indexed input AP families; too many automaton states	2.989942	0.032935
syntcomp26	robot-resource-1d-unreal.ltl	acacia_slow	M1 letter-loop	176982	614	1529	1576	205	no indexed input AP families; too many automaton states	13.258856	0.032433
syntcomp26	robot-resource-1d1.ltl	acacia_slow	M1 letter-loop	29794	323	985	1062	131	no indexed input AP families; too many automaton states	1.021671	0.028007
syntcomp26	robot-to-target-charging-real.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.062466	0.090106
syntcomp26	robot-to-target-charging6.ltl	ltlsynt_only	M1 letter-loop	0	0	0	105	6783	no indexed input AP families	17.040560	0.046856
syntcomp26	robot_collect_samples_v1-real.ltl	ltlsynt_only	M1 letter-loop	0	0	0	91	7740	no indexed input AP families	17.054781	0.060377
syntcomp26	robot_deliver_products_1-real.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.061895	2.191520
syntcomp26	robot_repair2.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.061867	0.431041
syntcomp26	robot_repair5.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.054001	10.866213
syntcomp26	robot_running-real.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.056070	0.462424
syntcomp26	scheduler-real.ltl	ltlsynt_only	M1 letter-loop	0	0	0	223	9957	not run	17.042395	0.242310
syntcomp26	simple_arbiter_unreal2_pb_25_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	3	not run	17.060730	0.021867
syntcomp26	simple_arbiter_unreal2_pb_75_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	24	not run	17.055249	0.057956
syntcomp26	sort40.ltl	acacia_slow	M1 letter-loop	57258	384	8	78	178	too few indexed clients	2.878450	0.040358
syntcomp26	square5x5-real.ltl	ltlsynt_only	M2 downset	65536	640	6	519	10332	no indexed input AP families; too many automaton states	17.081977	0.229203
syntcomp26	tasks-unreal1.ltl	ltlsynt_only	M3 translation-stall	32768	1547	5	130	752	too few indexed clients	17.107008	0.107700
syntcomp26	taxi-service-u-unreal.ltl	acacia_slow	M1 letter-loop	16480	392	6	106	53	no indexed input AP families	1.474394	0.048672
syntcomp26	thermostat-GF-unreal2.ltl	ltlsynt_only	M3 translation-stall	0	0	0	119	1261	not run	17.044012	1.551799
syntcomp26	tmp_13cfc6f2.ltl	ltlsynt_only	M1 letter-loop	1354720	614	42336	566	561	no indexed AP families; too many automaton states	17.031721	1.120885
syntcomp26	unordered-visits-charging0.ltl	ltlsynt_only	M3 translation-stall	0	0	0	147	253	too few indexed clients	17.055614	2.741578
syntcomp26	workstation_resupply_pb_2_pe_.ltl	acacia_slow	mixed	23696	315	5924	84	22	too few indexed clients	0.612807	0.037964
syntcomp26	workstation_resupply_pb_3_pe_.ltl	ltlsynt_only	M1 letter-loop	93552	1683	11694	169	279	no usable block layout; 0/0 star gens	17.033184	0.192184
syntcomp26	workstation_resupply_pb_4_pe_.ltl	ltlsynt_only	M1 letter-loop	23648	1749	8	389	3360	0/0 star gens	17.079396	1.939163
